ID,original_length,rate_sim_1,dist_sim_1,rate_sim_2,dist_sim_2,rate_sim_5,dist_sim_5,rate_sim_10,dist_sim_10,rate_sim_20,dist_sim_20,rate_sim_40,dist_sim_40,rate_sim_60,dist_sim_60,rate_sim_80,dist_sim_80,rate_sim_100,dist_sim_100,rate_sim_1000,dist_sim_1000,rate_sim_10000,dist_sim_10000
6,792,0.7474747474747475,1.1763659115431944,0.7285353535353535,2.2537164340837346,0.6982323232323232,5.1927708106621395,0.6527777777777778,12.770226289962384,0.6363636363636364,18.890531928254937,0.5934343434343434,36.93942339136058,0.6654040404040404,56.10035484094423,0.6767676767676768,80.32278396429689,0.6464646464646465,89.46951982095092,0.380050505050505,989.8852987243977,0.4065656565656566,9612.470597811105
7,454,0.7224669603524229,0.0,0.7224669603524229,0.0,0.7202643171806168,5.192752843153521,0.7158590308370044,8.382506786853394,0.711453744493392,18.068838985737564,0.7026431718061674,33.46299901706868,0.698237885462555,47.739443764748614,0.6850220264317181,79.07943458237932,0.6784140969162996,100.85555734042416,0.460352422907489,1260.394367989386,0.6343612334801763,10078.564006237715
8,5,0.8,0.3243603074482889,0.8,0.3243603074482889,0.8,5.7917714716124715,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,643,0.7993779160186625,0.06709750105427428,0.7993779160186625,0.06709750105427428,0.7993779160186625,0.06709750105427428,0.7962674961119751,9.118650744593504,0.7869362363919129,19.20334979648495,0.7791601866251944,38.72971786029969,0.7698289269051322,60.05552079754237,0.7558320373250389,74.15133192455636,0.749611197511664,100.7231797668605,0.4976671850699845,1004.812357072316,0.5692068429237948,9450.639369652868
10,5617,0.8746661919173936,1.625906368425464,0.8265978280220758,2.6879732212497647,0.7172868079045754,5.551517663350316,0.5759302118568631,13.813438464509066,0.47908136015666725,26.214958978995874,0.43955848317607266,76.51011657935962,0.4310129962613495,78.13686451975667,0.41748264197970447,90.51001941077543,0.40964927897454156,100.89549758710842,0.4262061598718177,1742.6000849155746,0.894605661385081,1410.459292010285
11,703,0.8605974395448079,1.5058387036162806,0.8435277382645804,2.1420046255323015,0.8250355618776671,5.297448697278611,0.8036984352773826,10.183838262124478,0.7780938833570412,20.154485488145145,0.7467994310099573,39.47930437515969,0.7027027027027027,60.86887854760336,0.6785206258890469,80.4203714571886,0.65149359886202,99.42802015728547,0.41963015647226176,1006.8249465992051,0.8122332859174964,8983.666402759678
12,814,0.7371007371007371,1.1742820542662349,0.726044226044226,2.025318503646586,0.7088452088452089,5.3406043307522335,0.6855036855036855,10.017217293999778,0.6597051597051597,20.570967062980003,0.6216216216216216,39.78289448662651,0.597051597051597,59.986456702299826,0.581081081081081,80.7589503020734,0.5761670761670762,127.9619450775748,0.3759213759213759,1006.9674294323913,0.6805896805896806,4717.998896772391
13,368,0.9103260869565217,0.877598436162925,0.907608695652174,2.2561881164600495,0.8913043478260869,5.507653996554226,0.8804347826086957,15.208561552994293,0.8722826086956522,17.981433436769866,0.8586956521739131,38.868908972211926,0.8559782608695652,56.82856224990243,0.8505434782608695,68.37966498955163,0.8260869565217391,98.022910242871,0.5543478260869565,1005.9855548817582,0.6929347826086957,7771.309419268673
14,661,0.7655068078668684,0.9881519908623142,0.7518910741301059,2.2041850943053145,0.7216338880484114,5.319752753210977,0.6989409984871406,10.098246772400437,0.6732223903177005,18.102671920322173,0.6278366111951589,47.520443587969496,0.5915279878971256,87.61685400768268,0.5854765506807866,87.62052720670187,0.556732223903177,100.63212277393127,0.2980332829046899,1050.4144270151314,0.7700453857791225,7309.827668048101
15,1131,0.7877984084880637,0.9671142578125369,0.7780725022104332,2.0982358596796584,0.7603890362511052,5.01181513866932,0.7409372236958444,10.06552124879401,0.7223695844385499,20.344200569801764,0.6914235190097259,39.707970005303515,0.6746242263483643,62.052164047729576,0.6463306808134395,87.89533765653671,0.632183908045977,131.4494379732119,0.3731211317418214,1260.1780152080973,0.6737400530503979,10074.492979524028
16,4463,0.9038763163791171,1.7981129248618193,0.8518933452834416,2.5575991059420904,0.727537530808873,6.159060727441517,0.5899619090298006,13.353822223865249,0.494734483531257,36.10220879583494,0.45664351333183956,44.59654417102486,0.44812906116961687,82.0980504777981,0.4651579654940623,102.95234156690154,0.4550750616177459,162.45988388839947,0.4496975128837105,1008.4144938453844,0.755545597131974,9325.62787890566
17,1979,0.6321374431531076,1.3044483380764804,0.5694795351187468,2.545395836678069,0.5184436584133401,5.065740676496153,0.46184941889843356,10.535005054538754,0.4471955533097524,20.761110416818234,0.42193026781202625,45.32330566503656,0.4689236988377969,75.85031925874964,0.43506821627084385,91.61436234109276,0.46184941889843356,100.46044939543324,0.3233956543708944,1006.9665687658564,0.4067710965133906,9159.934626639868
18,1615,0.36656346749226004,1.075819676562378,0.34055727554179566,2.0127227337335,0.44024767801857584,7.540710405714169,0.40309597523219814,10.06628895162472,0.3690402476780186,19.779579674976333,0.44953560371517026,39.82768980589232,0.4854489164086687,59.86892528259441,0.48359133126934983,67.76565427121187,0.443343653250774,98.93390626751699,0.16037151702786379,1278.8017964364026,0.3318885448916409,5807.929185348439
19,808,0.4975247524752475,1.0880166658283401,0.4542079207920792,2.304513146851104,0.5445544554455446,2.5216144293794986,0.49876237623762376,9.645410218283232,0.4962871287128713,19.965333122199453,0.5408415841584159,38.95515918902596,0.37376237623762376,54.49850895647252,0.3873762376237624,76.5390871135204,0.4430693069306931,86.5234175840045,0.30445544554455445,980.8994059533982,0.21658415841584158,7685.363308669215
20,1520,0.5664473684210526,1.208897265469846,0.4967105263157895,2.899439208914316,0.5289473684210526,6.249156658782131,0.5638157894736842,10.273308267584035,0.5197368421052632,20.645505678987718,0.47039473684210525,39.29980464629092,0.46381578947368424,114.94905788883548,0.3625,77.79874075184898,0.45921052631578946,99.74599238791956,0.4039473684210526,993.14452159297,0.5730263157894737,10073.632828307374
21,1491,0.49631120053655264,1.2043711509906543,0.4379610999329309,2.011242279442639,0.5191146881287726,4.777400501228309,0.5164319248826291,10.127549425068569,0.4473507712944333,20.560573871473295,0.4788732394366197,58.562335559433706,0.4138162307176392,60.6716937790376,0.4118041582830315,80.39454896048909,0.45137491616364855,100.89315637856629,0.215962441314554,1007.9070853100345,0.27565392354124746,10396.483595536134
