ID,original_length,rate_sim_1,dist_sim_1,rate_fbqs_1,dist_fbqs_1,rate_OPW_1,dist_OPW_1,rate_sim_2,dist_sim_2,rate_fbqs_2,dist_fbqs_2,rate_OPW_2,dist_OPW_2,rate_sim_5,dist_sim_5,rate_fbqs_5,dist_fbqs_5,rate_OPW_5,dist_OPW_5,rate_sim_10,dist_sim_10,rate_fbqs_10,dist_fbqs_10,rate_OPW_10,dist_OPW_10,rate_sim_20,dist_sim_20,rate_fbqs_20,dist_fbqs_20,rate_OPW_20,dist_OPW_20,rate_sim_40,dist_sim_40,rate_fbqs_40,dist_fbqs_40,rate_OPW_40,dist_OPW_40,rate_sim_60,dist_sim_60,rate_fbqs_60,dist_fbqs_60,rate_OPW_60,dist_OPW_60,rate_sim_80,dist_sim_80,rate_fbqs_80,dist_fbqs_80,rate_OPW_80,dist_OPW_80,rate_sim_100,dist_sim_100,rate_fbqs_100,dist_fbqs_100,rate_OPW_100,dist_OPW_100,rate_sim_1000,dist_sim_1000,rate_fbqs_1000,dist_fbqs_1000,rate_OPW_1000,dist_OPW_1000,rate_sim_10000,dist_sim_10000,rate_fbqs_10000,dist_fbqs_10000,rate_OPW_10000,dist_OPW_10000
79,1766,0.42129105322763305,0.0,0.412797281993205,0.7431964229166159,0.4178935447338618,0.6306829683546364,0.42129105322763305,0.0,0.4082672706681767,1.8470161037665405,0.41336353340883353,7.0965143782701015,0.41845979614949036,3.5360746496423445,0.3895809739524349,5.013483146921557,0.398074745186863,22.308694348741348,0.4144960362400906,3.534385758384558,0.37768969422423554,9.898566029303858,0.3873159682899207,80.41154399851061,0.40770101925254815,12.58705661561736,0.3567383918459796,20.114978330027355,0.3742921857304643,80.1903410967417,0.39977349943374857,37.744504074818394,0.33352208380520953,39.95520917424152,0.36296715741789354,80.29215074826206,0.3969422423556059,37.744504074818394,0.318233295583239,59.71937026704596,0.3539071347678369,204.45555705303224,0.39467723669309174,38.91564766603889,0.3074745186862967,79.59865613510014,0.34824462061155154,204.09641880033655,0.3924122310305776,81.60050331208228,0.2955832389580974,99.72258602589844,0.3431483578708947,204.50883029139356,0.3431483578708947,731.2060076720186,0.1432616081540204,1003.9126502070949,0.18856172140430352,3900.8323396930346,0.09060022650056625,9917.098834040953,0.022083805209513023,10037.770150799657,0.031710079275198186,11282.99660846714
80,1193,0.8583403185247276,0.0,0.8482816429170159,1.000305672375224,0.856663872590109,3.813974391547447,0.8583403185247276,0.0,0.829002514668902,1.8863659492198437,0.8516345347862532,3.820316097992241,0.8575020955574183,1.3752150318183634,0.7963118189438391,5.033364227759964,0.8357082984073764,11.599659247339298,0.854149203688181,3.0,0.7711651299245599,9.700120842632716,0.8214585079631181,348.63306120432696,0.8516345347862532,14.481488350729213,0.7284157585917854,19.93501235688788,0.8030176026823135,379.2847945091055,0.8491198658843252,14.481488350729213,0.6856663872590109,39.855919498916,0.7694886839899413,378.21436531630593,0.845766974015088,16.112656393726844,0.6580050293378038,59.775229837023645,0.7544006705783739,376.60473783921316,0.8432523051131601,31.657555276201084,0.6236378876781223,80.2841249941797,0.730092204526404,1165.5320326616798,0.8424140821458508,31.644353664293938,0.5993294216261525,100.80475103554255,0.7116512992455993,376.60473783921316,0.7535624476110645,995.8905289170044,0.269907795473596,1000.5783326255284,0.3327745180217938,2851.2411680883934,0.14585079631181894,9624.721040819502,0.03436714165968147,9620.490284831776,0.04107292539815591,12440.907416785923
81,1795,0.784958217270195,0.0,0.6384401114206129,0.9959030918636246,0.6807799442896936,4.150874340203888,0.7782729805013927,1.1062499999986812,0.5637883008356546,2.0184029129458736,0.6128133704735376,3.2175952467952547,0.6724233983286908,4.00082417257886,0.4913649025069638,5.031828403600684,0.532033426183844,47.83650484321501,0.611699164345404,9.07090717187113,0.45571030640668525,9.827948028063751,0.48022284122562675,47.84483883267488,0.5442896935933148,18.724568166802136,0.40947075208913647,19.838102084795302,0.4284122562674095,61.15573842405647,0.48245125348189416,35.38534969641927,0.36991643454038997,40.0518336378459,0.3894150417827298,71.25973592594721,0.4233983286908078,55.962037363123784,0.33593314763231197,59.99191652605581,0.3571030640668524,110.37846382683438,0.40445682451253484,70.1394065077991,0.3086350974930362,80.27880962549716,0.34428969359331474,584.5745777934638,0.3838440111420613,73.37098256002335,0.2958217270194986,100.31917818486957,0.3331476323119777,584.5681498708567,0.3103064066852368,967.6829169931299,0.12646239554317548,998.0193201801831,0.17103064066852366,2064.915606798987,0.05682451253481894,9808.530365087663,0.01615598885793872,9936.447430612909,0.020612813370473538,14098.777766591273
82,662,0.8338368580060423,0.0,0.8187311178247734,0.7382122055318661,0.8277945619335347,3.017097901211031,0.8338368580060423,0.0,0.8096676737160121,1.793432234889356,0.823262839879154,3.026497956687745,0.8338368580060423,0.0,0.7900302114803626,4.866868954066604,0.8126888217522659,4.047227970891667,0.8277945619335347,7.131441782475175,0.7658610271903323,9.668908183506858,0.8021148036253777,26.21810060723611,0.823262839879154,11.099159080248677,0.7401812688821753,19.855627072098557,0.783987915407855,28.704033197461847,0.8081570996978852,18.00792367346604,0.7114803625377644,40.08041517357182,0.7673716012084593,265.27580567607447,0.8081570996978852,18.00792367346604,0.6797583081570997,59.795813202268576,0.7507552870090635,264.20500672372134,0.8081570996978852,18.00792367346604,0.6661631419939577,77.47980781347451,0.7386706948640483,264.3793951069356,0.8036253776435045,73.56577643177457,0.6404833836858006,100.15728515130185,0.7326283987915407,264.3793951069356,0.7235649546827795,905.1618337164887,0.2930513595166163,998.4632217710382,0.38368580060422963,1301.5910926714896,0.24018126888217523,9546.907961648372,0.04380664652567976,10114.478853338424,0.0634441087613293,11763.417227713613
83,973,0.9424460431654677,0.0,0.9146968139773896,0.9758700124602921,0.9270298047276464,11.569888362512486,0.9403905447070915,1.1000000000058208,0.9023638232271326,1.9405550012266253,0.9146968139773896,11.567604748886897,0.920863309352518,3.2235170069273353,0.880781089414183,4.947283862867755,0.8931140801644398,17.446583993345392,0.9157245632065776,5.208986551344358,0.8581706063720452,9.508694953466517,0.8725590955806783,18.641814669787532,0.9013360739979445,18.305030169480784,0.8273381294964028,20.04645367572803,0.8499486125385406,29.726336840641263,0.8838643371017472,29.879080198624237,0.7841726618705036,39.348519396704575,0.817060637204522,390.2375263849382,0.8612538540596094,38.66564737565727,0.763617677286742,60.08815102658738,0.8016443987667009,164.91844693468835,0.8540596094552929,61.47427633908218,0.750256937307297,79.42105725342788,0.7872559095580678,164.90679169498395,0.8509763617677287,61.37560739967748,0.7389516957862282,99.7671898308059,0.7800616649537513,164.81716333937095,0.7923946557040082,730.1449127255971,0.45837615621788286,1002.9104988502131,0.5498458376156218,2161.2546935804394,0.2528263103802672,9965.65962191812,0.0842754367934224,9948.407516629031,0.10688591983556012,11437.455083520277
84,2643,0.6503972758229285,0.0,0.6360196746121831,1.003643557461793,0.6451002648505486,3.340823490610991,0.6503972758229285,0.0,0.6239122209610292,1.9663038727405069,0.6371547483919788,10.477781508438458,0.6485054861899356,3.404063771804225,0.5993189557321226,4.940909997246141,0.6242905788876277,12.95392134085349,0.6458569807037458,8.069172181496544,0.5785092697692017,10.068880636678465,0.6118047673098751,174.95275956521704,0.6416950435111616,10.20990630213636,0.5524025728339008,20.009957938077335,0.5985622398789254,174.95275956521704,0.6375331063185774,18.260887163547288,0.5202421490730231,39.826983815999355,0.5826712069617859,1138.0688999541553,0.635262958758986,40.86782777528906,0.4907302307983352,59.97164057372916,0.5675368898978433,1138.337843699585,0.6333711691259932,37.75201180652178,0.47446083995459704,80.54945670681991,0.5546727203934922,1138.7246474642184,0.6326144532727961,83.3446589620456,0.45554294362466896,99.94868399115434,0.5455921301551268,1138.5419498506158,0.5622398789254635,870.0584119345286,0.20128641695043512,1001.0048174889896,0.2674990541051835,6284.853370177198,0.12977676882330685,9836.794019040517,0.03064699205448354,9977.359736961414,0.03745743473325766,9659.00929790895
85,1657,0.8901629450814725,0.0,0.8738684369342185,1.002698168880464,0.8859384429692215,24.364179179699406,0.8901629450814725,0.0,0.8587809293904647,1.970258970654271,0.8780929390464696,74.30368930123747,0.8901629450814725,0.0,0.8261919130959565,4.974311198830932,0.864212432106216,74.21614429851641,0.8859384429692215,8.590988115676645,0.7942063971031985,10.060475329626946,0.8485214242607121,74.34922463236055,0.8805069402534701,13.744890788846629,0.7616173808086905,19.78272124697073,0.8298129149064575,74.1554827436953,0.872057936028968,20.83220330372384,0.7290283645141823,39.359115637773954,0.8117079058539529,83.71010181245126,0.8696439348219674,45.34431566468385,0.6982498491249246,60.23182544894732,0.7923958961979481,122.60299608950736,0.8666264333132166,45.34431566468385,0.6759203379601689,80.29493971952535,0.7833433916716959,195.60978059276732,0.8666264333132166,45.34431566468385,0.6584188292094146,99.20770835661659,0.764031382015691,460.8894959545403,0.7929993964996982,867.6992366852479,0.31140615570307784,1000.7029073268325,0.42184671092335546,2537.100025801421,0.18105009052504525,9949.318566574799,0.045866022933011466,10048.92380720518,0.06457453228726615,11201.379926244845
86,1054,0.8083491461100569,0.0,0.7988614800759013,0.9208748593046552,0.8026565464895635,13.480353826587788,0.8083491461100569,0.0,0.7836812144212524,1.957819709320634,0.7979127134724858,13.61319217498643,0.8074003795066413,1.9654007088109142,0.7685009487666035,4.958599628662064,0.784629981024668,34.82525968786783,0.8064516129032258,6.271652434079588,0.7333965844402277,9.70900514944184,0.7703984819734345,230.8249881818166,0.7998102466793169,8.252055889652105,0.698292220113852,20.148950076164667,0.7476280834914611,772.8974785830264,0.7922201138519924,17.851314737346556,0.6612903225806451,40.00647653478701,0.7324478178368121,233.23319163306144,0.784629981024668,44.378809190201835,0.6318785578747628,60.260811146025844,0.7144212523719166,231.00254683904842,0.7827324478178368,44.378809190201835,0.6138519924098672,79.27854615028227,0.7011385199240987,231.00254683904842,0.7808349146110057,43.47638116049369,0.5920303605313093,100.30137735008032,0.6793168880455408,315.16585939723666,0.6869070208728653,965.8273643319717,0.27703984819734345,1004.26623321421,0.372865275142315,5452.95408663777,0.14895635673624288,9455.65794593691,0.04174573055028463,9954.488017126867,0.05218216318785579,23706.236525601653
87,1265,0.9035573122529644,0.0,0.8869565217391304,0.9720505890765451,0.899604743083004,2.562010180935265,0.9035573122529644,0.0,0.8719367588932806,2.0117251452086125,0.8901185770750988,2.753328207240186,0.9019762845849802,2.5,0.850592885375494,4.990151996154815,0.8845849802371542,10.267210508092173,0.9011857707509882,3.0087072981309877,0.8268774703557312,9.781233894294086,0.8727272727272727,26.110103432994663,0.9011857707509882,3.0087072981309877,0.7849802371541502,19.954365833199375,0.8529644268774703,26.211668538295434,0.899604743083004,4.9345204054722505,0.7320158102766798,39.91269204908506,0.8316205533596838,47.168613401774365,0.899604743083004,4.9345204054722505,0.6964426877470355,60.118553649559914,0.8158102766798419,2553.18204619218,0.899604743083004,4.9345204054722505,0.6758893280632411,76.72299959670713,0.8110671936758893,424.81873290693954,0.8980237154150198,5.00337468704773,0.6411067193675889,100.84122490143841,0.7905138339920948,512.8747095565352,0.8181818181818182,929.6011651201675,0.26877470355731226,1001.6225388614266,0.3691699604743083,3745.083031705883,0.14071146245059288,9137.68629187944,0.03557312252964427,9973.008984171134,0.05059288537549407,23704.961431005904
88,1274,0.9434850863422292,0.0,0.9332810047095761,1.0004479655930851,0.9427001569858713,0.343192187882829,0.9434850863422292,0.0,0.9167974882260597,1.9846463095802656,0.9356357927786499,2.229941671646854,0.9387755102040817,4.4650157212020005,0.8861852433281004,5.007407327269394,0.9128728414442701,11.231934527222727,0.9270015698587127,9.455425281973248,0.8367346938775511,10.064295152786496,0.868916797488226,15.84389102718735,0.8877551020408163,14.310392196615798,0.7802197802197802,20.136867914806928,0.8233908948194663,29.33314680125276,0.8571428571428571,27.965604667358548,0.7409733124018838,39.672809534734405,0.7864992150706437,305.0990877421356,0.8516483516483516,30.29149472898473,0.7087912087912088,59.63320933336402,0.7786499215070644,625.6772394664674,0.8430141287284144,70.90087210184026,0.6883830455259027,79.2795944034323,0.7629513343799058,625.9846034856043,0.8359497645211931,70.90087210184026,0.6703296703296703,100.63416038034954,0.7448979591836735,627.1228348175416,0.750392464678179,937.4380945372509,0.31004709576138145,999.6671109486372,0.41051805337519626,2144.3585005487384,0.18995290423861852,9680.617420118819,0.05023547880690738,10040.629806805722,0.06279434850863422,10519.098908483717
