ID,original_length,rate_sim_1,dist_sim_1,rate_fbqs_1,dist_fbqs_1,rate_sim_2,dist_sim_2,rate_fbqs_2,dist_fbqs_2,rate_sim_5,dist_sim_5,rate_fbqs_5,dist_fbqs_5,rate_sim_10,dist_sim_10,rate_fbqs_10,dist_fbqs_10,rate_sim_20,dist_sim_20,rate_fbqs_20,dist_fbqs_20,rate_sim_40,dist_sim_40,rate_fbqs_40,dist_fbqs_40,rate_sim_60,dist_sim_60,rate_fbqs_60,dist_fbqs_60,rate_sim_80,dist_sim_80,rate_fbqs_80,dist_fbqs_80,rate_sim_100,dist_sim_100,rate_fbqs_100,dist_fbqs_100,rate_sim_1000,dist_sim_1000,rate_fbqs_1000,dist_fbqs_1000,rate_sim_10000,dist_sim_10000,rate_fbqs_10000,dist_fbqs_10000
1,588,0.452381,2996.66,0.243197,6346.45,0.430272,2996.66,0.248299,6346.45,0.409864,2996.66,0.238095,5215.36,0.37585,2996.66,0.232993,5215.36,0.321429,2996.66,0.212585,5215.36,0.316327,3054.74,0.183673,6894.2,0.302721,2996.66,0.151361,6894.2,0.328231,2996.66,0.132653,4767.57,0.282313,4003.67,0.122449,6346.45,0.217687,13985,0.10034,6894.2,0.282313,18638.7,0.0289116,13793.1
2,1674,0.869773,360.555,0.446834,5578.2,0.864397,360.555,0.446834,5578.2,0.849462,360.555,0.446237,5578.2,0.834528,1785.67,0.446834,5578.2,0.796894,6363.96,0.446834,5578.2,0.766428,6363.96,0.444444,7002.86,0.731183,6670.83,0.44325,7002.86,0.703704,9304.84,0.445639,7002.86,0.681004,9415.41,0.443847,7002.86,0.250299,26300.8,0.351852,8013.11,0.523895,26585,0.0591398,20542.9
3,1371,0.463166,13033.8,0.243618,8730.93,0.466083,11595.4,0.242159,8730.93,0.464624,11595.4,0.243618,8730.93,0.47046,223.607,0.245077,8730.93,0.465354,494.975,0.243618,8730.93,0.448578,1838.44,0.244347,8730.93,0.425237,12742.4,0.242888,8730.93,0.441284,796.993,0.242159,8730.93,0.437637,796.993,0.239241,27247,0.214442,28904.3,0.210795,5585.59,0.231218,29115.6,0.0466813,11289.8
4,672,0.196429,4810.41,0.10119,6152.94,0.190476,4810.41,0.10119,12819.1,0.169643,6627.22,0.104167,12819.1,0.169643,6627.22,0.0982143,12819.1,0.166667,16223.7,0.0892857,12819.1,0.174107,8711.53,0.0922619,12819.1,0.172619,11958.2,0.0922619,12819.1,0.172619,8711.53,0.0892857,12819.1,0.172619,8711.53,0.0892857,12819.1,0.141369,12766.4,0.078869,6152.94,0.0848214,15322.1,0.0282738,12877.1
5,798,0.390977,231.627,0.206767,8319.86,0.37218,12237.9,0.204261,8319.86,0.389724,141.422,0.196742,18195.1,0.382206,141.422,0.201754,19983.2,0.385965,141.422,0.203008,20127,0.383459,100,0.197995,19983.2,0.382206,1649.24,0.197995,20127,0.378446,1649.24,0.196742
